"","A..4.."
"257","French Polynesia:Nuku Hiva"
"258","Micronesia:Ulul"
"259","Chile:Isla Luz"
"260","Panama:Isla del Rey"
"261","USSR:Zemlya Vilcheka"
"262","Indonesia:Matasiri"
"263","Canada:Moresby Island"
"264","Chile:Easter Island"
"265","Greenland:Geographical Society O"
"266","Marshall Islands:Ailuk Atoll"
"267","Lesotho"
"268","Lake Fjerritslev"
"269","Cape Verde:Santo Antao"
"270","Indonesia:Sulawesi"
"271","Greece:Zakinthos"
"272","Greenland:Ile de France"
"273","USSR:?"
"274","Anguilla"
"275","Philippines:Palawan"
"276","Norway:Soroya"
"277","USA:Alaska:Kagalaska Island"
"278","Nauru"
"279","Australia:Bentinck Island"
"280","USA:Drummond Island"
"281","Saint Kitts"
"282","Canada:White Island"
"283","Chile:Isla Hoste"
"284","Cape Verde:Fogo"
"285","Indonesia:Mapur"
"286","USA:Door Penninsula"
"287","Antarctica:Pourquoi Pas Island"
"288","Cape Verde:Brava"
"289","Philippines:Tablas"
"290","USA:Alaska:Akun Island"
"291","Sweden:Gotland"
"292","Philippines:Catanduanes Island"
"293","Maldives:?"
"294","Tonga:Tongatapu"
"295","Greece:Simi"
"296","USSR:Ostrov Morzhovets"
"297","Canada:Adlavik Island"
"298","Canada:Alexander Island"
"299","Denmark:Sandoy"
"300","Australia:Dirk Hartog Island"
"301","USA:Bogue Banks"
"302","Kiribati:Nikunau"
"303","Greenland:Norske Oer"
"304","Australia:Cocos Islands:South Island"
"305","Vanuatu:Vanua Lava"
"306","Chile:Isla Stosch"
"307","Greece:Milos"
"308","Canada:Opposite Island"
"309","Montserrat"
"310","Dominican Republic:Isla Saona"
"311","USSR:Lake Baikal"
"312","Greenland"
"313","Antarctica:?"
"314","Indonesia:Atauro"
"315","Myanmar:Pulo Buda"
"316","Antarctica:?"
"317","USA:Alaska:?"
"318","Indonesia:Waleabahi"
"319","New Zealand:South Island"
"320","Pakistan:Lake ?"
"321","Sardinia"
"322","Chile:Isla Humos"
"323","Japan:Sado"
"324","USSR:Ostrov Dzharylgach"
"325","Micronesia:Magur"
"326","Canada:Calvert Island"
"327","USA:Stockton Island"
"328","Canada:Mackenzie King Island"
"329","Myanmar:Saganthit Kyun"
"330","Maldives:?"
"331","USA:Alaska:Great Sitkan Island"
"332","Iceland"
"333","Greenland:?"
"334","UK:Pitcairn Island"
"335","Maldives:?"
"336","Tanzania:Zanzibar"
"337","Ethiopia:Dehalak Deset"
"338","Canada:Porcher Island"
"339","Canada:Pitt Island"
"340","Norway:Svalbard:Edgeoya"
"341","Indonesia:Tarakan"
"342","Indonesia:Tioor"
"343","Indonesia:Waar"
"344","Antarctica:Mill Island"
"345","French Polynesia:Raivavae"
"346","Sicily"
"347","Canada:Quadra Island"
"348","USA:Florida:Key Largo"
"349","Vanuatu:Aoba"
"350","Malta:Malta"
"351","India:Little Andaman Island"
"352","Fiji:Kambara Island"
"353","USA:Florida:Sanibel Island"
"354","USA:Palau:Babelthuap"
"355","Guadeloupe:Basse-Terre"
"356","Myanmar:Mali Kyun"
"357","Thailand:Ko Phangan"
"358","France:Ile de Re"
"359","Australia:Maria Island"
"360","Thailand:Ko Chang"
"361","USSR:Ostrov Neupokoyeva"
"362","Indonesia:Trangan"
"363","Indonesia:Wokam"
"364","UK:Guernsey"
"365","UK:Great Britain"
"366","Philippines:Balabac Island"
"367","USSR:Saaremaa"
"368","USSR:Aral Penninsula"
"369","Haiti:Ile de la Gonave"
"370","Ecuador:Isla Fernandina"
"371","Chile:Isla Rivero"
"372","Hawaii:Nihoa"
"373","France:Kerguelen Island"
"374","Argentina:Tierra del Fuego"
"375","Chile:Tierra del Fuego"
"376","Argentina:Tierra del Fuego:South"
"377","Madagascar:Ile Sainte-Marie"
"378","Brazil:Ilha Mututi"
"379","Chile:?"
"380","USSR:Ostrov Bennetta"
"381","Indonesia:Waigeo"
"382","Indonesia:Lepar"
"383","Papua New Guinea:Sidea"
"384","Marshall Islands:Jih"
"385","Solomon Islands:Santa Isabel"
"386","Norway:Vega"
"387","USSR:Ostrov Kotel'nyy"
"388","USA:Florida:Lower Matecumbe Key"
"389","Antarctica:Adelaide Island"
"390","Antarctica:Young Island"
"391","Chile:Isla Sala y Gomez"
"392","Indonesia:Pantar"
"393","Antarctica:Wiencke Island"
"394","Maldives:?"
"395","Tonga:Late Island"
"396","Chile:Isla Victoria"
"397","Fiji:Ovalau"
"398","Denmark:Bordoy"
